"Source:","/home/wileyc/src/OSSO/kicad/osso.kicad_sch"
"Date:","Fri 27 Jan 2023 08:09:53 PM JST"
"Tool:","Eeschema (6.0.11)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","150"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"ALIM0, ALIM1, ","2","Alim","MORSETTO_2","osso:W237-102","",""
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, ","11","C5/2.5","C5{slash}2.5","osso:C5B2.5","",""
"D1, ","1","DIODE","DIODE","osso:DO15-12","",""
"H1, H2, H3, H4, H5, ","5","HOLE3.0","HOLE3.0","osso:3,0","",""
"I2C0, ","1","I2C","MORSETTO_2","osso:W237-102","",""
"IC1, IC6, ","2","REGOLATORE_TENSIONESWITCHING","REGOLATORE_TENSIONESWITCHING","osso:MT6-3","",""
"IC2, IC3, ","2","ULN2003AN","ULN2003AN","osso:DIL16","",""
"IC4, ","1","MAX202CPE","MAX202CPE","osso:DIL16","",""
"IC5, ","1","MAX481CPA","MAX481CPA","osso:DIL08","",""
"IN1, ","1","IN1","MORSETTO_2","osso:W237-102","",""
"IN2, ","1","IN2","MORSETTO_2","osso:W237-102","",""
"IN3, ","1","IN3","MORSETTO_2","osso:W237-102","",""
"IN4, ","1","IN4","MORSETTO_2","osso:W237-102","",""
"IN5, ","1","IN5","MORSETTO_2","osso:W237-102","",""
"IN6, ","1","IN6","MORSETTO_2","osso:W237-102","",""
"IN7, ","1","IN7","MORSETTO_2","osso:W237-102","",""
"IN8, ","1","IN8","MORSETTO_2","osso:W237-102","",""
"J1, ","1","RTC_MICROROBOT_ALGOZINO-PTH","RTC_MICROROBOT_ALGOZINO-PTH","osso:RTC_MICROBOT_ALGOZINO","",""
"JP1, ","1","JUMPER_2","JUMPER_2","osso:JP1","",""
"K1, K2, K3, K4, K5, K6, K7, K8, ","8","RELAY","RELAY","osso:G5LE","",""
"OK1, OK2, ","2","OPTOISOLATORE_ILQ620","OPTOISOLATORE_ILQ620","osso:DIL16","",""
"PCB1, ","1","BORDO_UNIXMEDIA150X83,5","BORDO_UNIXMEDIA150X83,5","osso:BORD_UNIXMEDIA","",""
"R1, R2, R3, R4, R5, R6, R7, R8, ","8","49","RESISTOR0204{slash}7","osso:0204_7","",""
"R9, R13, R15, R23, ","4","RESISTOR0204/7","RESISTOR0204{slash}7","osso:0204_7","",""
"R10, R11, R12, R14, R16, R17, R18, R19, R20, R21, R22, R24, R25, ","13","10k","RESISTOR0204{slash}7","osso:0204_7","",""
"SCL2, ","1","TPPAD1-13","TPPAD1-13","osso:TEST_POINT","",""
"SDA2, ","1","TP1","TPPAD1-13","osso:TEST_POINT","",""
"SS1, ","1","CE-MARK","CE-MARK","osso:CE-MARK-0.2","",""
"SS2, ","1","PB-MARK","PB-MARK","osso:PB-MARK-0.2","",""
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP60, TP61, TP62, ","62","TPPAD1-13","TPPAD1-13","osso:TEST_POINT","",""
"U$1, ","1","BEAGLEBONE_OUTLINE","BEAGLEBONE_OUTLINE","osso:BEAGLEBONE_SHIELD","",""
"X1, ","1","X1","MORSETTO_3","osso:W237-103","",""
"X2, ","1","X2","MORSETTO_3","osso:W237-103","",""
"X3, ","1","X3","MORSETTO_3","osso:W237-103","",""
"X4, ","1","X4","MORSETTO_3","osso:W237-103","",""
"X5, ","1","X5","MORSETTO_3","osso:W237-103","",""
"X6, ","1","X6","MORSETTO_3","osso:W237-103","",""
"X7, ","1","X7","MORSETTO_3","osso:W237-103","",""
"X8, ","1","X8","MORSETTO_3","osso:W237-103","",""
"X9, ","1","MORSETTO_3","MORSETTO_3","osso:W237-103","",""
"X10, X11, ","2","MORSETTO_2","MORSETTO_2","osso:W237-102","",""
